Iteração 108: x = [1.00002217e+00 1.10863066e-05], f(x) = 1.249972284387032, grad_norm = 1.118021708648924, alpha = 2.0530310231465696e-07
Iteração 109: x = [1.00002238e+00 1.11889571e-05], f(x) = 1.2499720277638573, grad_norm = 1.1180215938822613, alpha = 2.0530310231465696e-07
Iteração 110: x = [1.00002258e+00 1.12916075e-05], f(x) = 1.2499717711407352, grad_norm = 1.1180214791156105, alpha = 2.0530310231465696e-07
Iteração 111: x = [1.00002279e+00 1.13942578e-05], f(x) = 1.249971514517666, grad_norm = 1.1180213643489714, alpha = 2.0530310231465696e-07
Iteração 112: x = [1.00002299e+00 1.14969082e-05], f(x) = 1.2499712578946496, grad_norm = 1.118021249582344, alpha = 2.0530310231465696e-07
Iteração 113: x = [1.00002320e+00 1.15995586e-05], f(x) = 1.2499710012716854, grad_norm = 1.1180211348157285, alpha = 2.0530310231465696e-07
Iteração 114: x = [1.0000234e+00 1.1702209e-05], f(x) = 1.2499707446487744, grad_norm = 1.1180210200491247, alpha = 2.0530310231465696e-07
Iteração 115: x = [1.00002361e+00 1.18048593e-05], f(x) = 1.249970488025916, grad_norm = 1.118020905282533, alpha = 2.0530310231465696e-07
Iteração 116: x = [1.00002382e+00 1.19075097e-05], f(x) = 1.2499702314031103, grad_norm = 1.1180207905159527, alpha = 2.0530310231465696e-07
Iteração 117: x = [1.00002402e+00 1.20101600e-05], f(x) = 1.249969974780357, grad_norm = 1.1180206757493845, alpha = 2.0530310231465696e-07
Iteração 118: x = [1.00002423e+00 1.21128103e-05], f(x) = 1.2499697181576568, grad_norm = 1.1180205609828278, alpha = 2.0530310231465696e-07
Iteração 119: x = [1.00002443e+00 1.22154606e-05], f(x) = 1.249969461535009, grad_norm = 1.118020446216283, alpha = 2.0530310231465696e-07
Iteração 120: x = [1.00002464e+00 1.23181109e-05], f(x) = 1.2499692049124138, grad_norm = 1.11802033144975, alpha = 2.0530310231465696e-07
Iteração 121: x = [1.00002484e+00 1.24207612e-05], f(x) = 1.2499689482898713, grad_norm = 1.1180202166832287, alpha = 2.0530310231465696e-07
Iteração 122: x = [1.00002505e+00 1.25234115e-05], f(x) = 1.2499686916673816, grad_norm = 1.1180201019167193, alpha = 2.0530310231465696e-07
Iteração 123: x = [1.00002525e+00 1.26260617e-05], f(x) = 1.2499684350449445, grad_norm = 1.1180199871502214, alpha = 2.0530310231465696e-07
Iteração 124: x = [1.00002546e+00 1.27287120e-05], f(x) = 1.24996817842256, grad_norm = 1.1180198723837356, alpha = 2.0530310231465696e-07
Iteração 125: x = [1.00002566e+00 1.28313622e-05], f(x) = 1.2499679218002284, grad_norm = 1.1180197576172615, alpha = 2.0530310231465696e-07
Iteração 126: x = [1.00002587e+00 1.29340125e-05], f(x) = 1.2499676651779494, grad_norm = 1.1180196428507991, alpha = 2.0530310231465696e-07
Iteração 127: x = [1.00002607e+00 1.30366627e-05], f(x) = 1.2499674085557233, grad_norm = 1.1180195280843486, alpha = 2.0530310231465696e-07
Iteração 128: x = [1.00002628e+00 1.31393129e-05], f(x) = 1.2499671519335498, grad_norm = 1.1180194133179098, alpha = 2.0530310231465696e-07
Iteração 129: x = [1.00002648e+00 1.32419631e-05], f(x) = 1.2499668953114291, grad_norm = 1.118019298551483, alpha = 2.0530310231465696e-07
Iteração 130: x = [1.00002669e+00 1.33446133e-05], f(x) = 1.2499666386893606, grad_norm = 1.1180191837850677, alpha = 2.0530310231465696e-07
Iteração 131: x = [1.00002689e+00 1.34472635e-05], f(x) = 1.249966382067345, grad_norm = 1.1180190690186642, alpha = 2.0530310231465696e-07
Iteração 132: x = [1.00002710e+00 1.35499136e-05], f(x) = 1.249966125445382, grad_norm = 1.1180189542522725, alpha = 2.0530310231465696e-07
Iteração 133: x = [1.00002731e+00 1.36525638e-05], f(x) = 1.2499658688234718, grad_norm = 1.1180188394858925, alpha = 2.0530310231465696e-07
Iteração 134: x = [1.00002751e+00 1.37552140e-05], f(x) = 1.2499656122016143, grad_norm = 1.1180187247195246, alpha = 2.0530310231465696e-07
Iteração 135: x = [1.00002772e+00 1.38578641e-05], f(x) = 1.2499653555798096, grad_norm = 1.1180186099531682, alpha = 2.0530310231465696e-07
Iteração 136: x = [1.00002792e+00 1.39605142e-05], f(x) = 1.2499650989580575, grad_norm = 1.1180184951868237, alpha = 2.0530310231465696e-07
Iteração 137: x = [1.00002813e+00 1.40631643e-05], f(x) = 1.249964842336358, grad_norm = 1.1180183804204908, alpha = 2.0530310231465696e-07
Iteração 138: x = [1.00002833e+00 1.41658145e-05], f(x) = 1.2499645857147113, grad_norm = 1.11801826565417, alpha = 2.0530310231465696e-07
Iteração 139: x = [1.00002854e+00 1.42684645e-05], f(x) = 1.2499643290931173, grad_norm = 1.1180181508878606, alpha = 2.0530310231465696e-07
Iteração 140: x = [1.00002874e+00 1.43711146e-05], f(x) = 1.2499640724715761, grad_norm = 1.1180180361215633, alpha = 2.0530310231465696e-07
Iteração 141: x = [1.00002895e+00 1.44737647e-05], f(x) = 1.2499638158500874, grad_norm = 1.1180179213552779, alpha = 2.0530310231465696e-07
Iteração 142: x = [1.00002915e+00 1.45764148e-05], f(x) = 1.249963559228651, grad_norm = 1.1180178065890038, alpha = 2.0530310231465696e-07
Iteração 143: x = [1.00002936e+00 1.46790648e-05], f(x) = 1.2499633026072678, grad_norm = 1.1180176918227418, alpha = 2.0530310231465696e-07
Iteração 144: x = [1.00002956e+00 1.47817149e-05], f(x) = 1.2499630459859372, grad_norm = 1.1180175770564915, alpha = 2.0530310231465696e-07
Iteração 145: x = [1.00002977e+00 1.48843649e-05], f(x) = 1.2499627893646592, grad_norm = 1.118017462290253, alpha = 2.0530310231465696e-07
Iteração 146: x = [1.00002997e+00 1.49870149e-05], f(x) = 1.249962532743434, grad_norm = 1.1180173475240263, alpha = 2.0530310231465696e-07
Iteração 147: x = [1.00003018e+00 1.50896649e-05], f(x) = 1.2499622761222613, grad_norm = 1.1180172327578113, alpha = 2.0530310231465696e-07
Iteração 148: x = [1.00003038e+00 1.51923149e-05], f(x) = 1.2499620195011416, grad_norm = 1.118017117991608, alpha = 2.0530310231465696e-07
Iteração 149: x = [1.00003059e+00 1.52949649e-05], f(x) = 1.2499617628800743, grad_norm = 1.1180170032254169, alpha = 2.0530310231465696e-07
Iteração 150: x = [1.00003080e+00 1.53976149e-05], f(x) = 1.2499615062590599, grad_norm = 1.1180168884592372, alpha = 2.0530310231465696e-07
Iteração 151: x = [1.00003100e+00 1.55002649e-05], f(x) = 1.249961249638098, grad_norm = 1.1180167736930693, alpha = 2.0530310231465696e-07
Iteração 152: x = [1.00003121e+00 1.56029149e-05], f(x) = 1.249960993017189, grad_norm = 1.1180166589269134, alpha = 2.0530310231465696e-07
Iteração 153: x = [1.00003141e+00 1.57055648e-05], f(x) = 1.2499607363963325, grad_norm = 1.1180165441607692, alpha = 2.0530310231465696e-07
Iteração 154: x = [1.00003162e+00 1.58082147e-05], f(x) = 1.2499604797755286, grad_norm = 1.1180164293946366, alpha = 2.0530310231465696e-07
Iteração 155: x = [1.00003182e+00 1.59108647e-05], f(x) = 1.2499602231547775, grad_norm = 1.1180163146285158, alpha = 2.0530310231465696e-07
Iteração 156: x = [1.00003203e+00 1.60135146e-05], f(x) = 1.249959966534079, grad_norm = 1.118016199862407, alpha = 2.0530310231465696e-07
Iteração 157: x = [1.00003223e+00 1.61161645e-05], f(x) = 1.2499597099134334, grad_norm = 1.11801608509631, alpha = 2.0530310231465696e-07
Iteração 158: x = [1.00003244e+00 1.62188144e-05], f(x) = 1.2499594532928402, grad_norm = 1.1180159703302246, alpha = 2.0530310231465696e-07
Iteração 159: x = [1.00003264e+00 1.63214643e-05], f(x) = 1.2499591966723, grad_norm = 1.1180158555641508, alpha = 2.0530310231465696e-07
Iteração 160: x = [1.00003285e+00 1.64241142e-05], f(x) = 1.2499589400518123, grad_norm = 1.118015740798089, alpha = 2.0530310231465696e-07
Iteração 161: x = [1.00003305e+00 1.65267640e-05], f(x) = 1.2499586834313774, grad_norm = 1.118015626032039, alpha = 2.0530310231465696e-07
